id,name,sex,type
Musk,Elon Musk,1,1
Shotwell,Gwynne Shotwell,2,1
Koenigsmann,Hans Koenigsmann,1,1
Blackmore,Lars Blackmore,1,1
Mueller,Tom Müller,1,1
Jurvetson,Steve Jurvetson,1,1
Johnsen,Bret Johnsen,1,1
Harris,David Harris,1,1
Cooper,Patricia Cooper,2,1
Gower,Brian Gower,1,1
Dunn,Mathew Dunn,1,1
Bjelde,Brian Bjelde,1,1
Hofeller,Jonathan Hofeller,1,1
jaxa,JAXA,99,2
SpaceX,SPACEX,99,2
nasa,Nasa,99,2
esa,ESA,99,2
dlr,DLR,99,2
csa,CSA,99,2
Shanklin,Emily Shanklin,2,1
Ehrenfreund,Pascale Ehrenfreund,1,1
Hamacher,Klaus Hamacher,1,1
Lemmer,Karsten Lemmer,1,1
Henke,Rolf Henke,1,1
Pelzer,Walter Pelzer,1,1
Dittus,Hans Jörg Dittus,1,1
Woerner,Johann Dietrich Wörner,1,1
Ongaro,Franco Ongaro,1,1
Parker,David Parker,1,1
Westgaver,Eric Morel de Westgaver,1,1
Neuenschander,Daniel Neuenschwander,1,1
Aschbacher,Josef Aschbacher,1,1
Campbell,Lisa Campbell,2,1
Buckley,Nicole Buckley,2,1
Bridenstine,James Frederick Bridenstine,1,1
Tu,Eugene Tu,1,1
Sherman,Gabe Sherman,1,1
Zurbuchen,Thomas Zurbuchen,1,1
Reuter,James Reuter,1,1
Martin,Paul Martin,1,1
Warkins,Michael Warkins,1,1
Geyer,Mark Geyer,1,1
Gibbs,Bob Gibbs,1,1
Morhard,Jim Morhard,1,1
Gilbrech,Richard Gilbrech,1,1
Khan,Umer Khan,1,1
Iss,ISS,99,3
StarLink,Star Link,99,3
MercuryProgramm,Mercury Programm,99,3
ArtemisProgramm,Artemis Programm,99,3
Skylab,Skylab,99,3
SolarOrbiter,Solar Orbiter,99,3
MarcoPolo,Marco Polo,99,3
DestinyPlus,Destiny Plus,99,3
EuCROPIS,EuCropis,99,3
Hiroshi,Yamakawa Hiroshi,1,1
Hisashi,Sano Hisashi,1,1
Yasuhiro,Funo Yasuhiro,1,1
Koji,Terada Koji,1,1
Hitoshi,Kuninaka Hitoshi,1,1
Masatoshi,Harigae masatoshi,1,1
Yasou,Ishi yasuo,1,1
Mami,OyamaMami,2,1
FalconNine,Falcon 9,99,3
FalconHeavy,Falcon Heavy,99,3
Dragon,Dragon,99,3
DragonTwo,Dragon 2,99,3
USC,University Of Southern California ,99,4
JHU,Johns Hopkins University,99,4
UPenn,University of Pennsylvania,99,4
AeroCorp,The Aerospace Corporation,99,2